"id","sex","smoking","alcohol","people_main","political","personal_main"
"3721228","male","not specified","not specified","not specified","not specified","not specified"
"2397450","male","not specified","not specified","not specified","not specified","not specified"
"6647087","male","not specified","not specified","not specified","not specified","not specified"
"260689","female","not specified","not specified","not specified","not specified","not specified"
"252174","male","not specified","not specified","not specified","not specified","not specified"
"7609806","male","not specified","not specified","not specified","Apathetic","not specified"
"3806940","female","not specified","not specified","not specified","not specified","not specified"
"5488344","male","not specified","not specified","not specified","not specified","not specified"
"4568422","male","not specified","not specified","not specified","not specified","not specified"
"4096535","female","not specified","not specified","not specified","not specified","not specified"
"4377478","female","not specified","not specified","not specified","not specified","not specified"
"6776375","male","not specified","not specified","not specified","Liberal","not specified"
"7109407","male","not specified","not specified","not specified","not specified","not specified"
"7814253","female","not specified","not specified","not specified","not specified","not specified"
"2918595","female","not specified","not specified","not specified","not specified","not specified"
"873280","female","not specified","not specified","not specified","not specified","not specified"
"5133419","male","not specified","not specified","not specified","Monarchist","not specified"
"9042289","male","not specified","not specified","not specified","not specified","not specified"
"5526180","female","not specified","not specified","not specified","Moderate","not specified"
"129928","female","not specified","not specified","not specified","not specified","not specified"
"3527787","male","not specified","not specified","not specified","not specified","not specified"
"4430881","female","not specified","not specified","not specified","not specified","not specified"
"8720580","male","not specified","not specified","not specified","not specified","not specified"
"6421327","male","not specified","not specified","not specified","not specified","not specified"
"9736767","male","not specified","not specified","not specified","not specified","not specified"
"5928610","male","not specified","not specified","not specified","not specified","not specified"
"294807","female","not specified","not specified","not specified","not specified","not specified"
"7427805","female","not specified","not specified","not specified","not specified","not specified"
"283831","female","not specified","not specified","not specified","not specified","not specified"
"1555383","female","not specified","not specified","not specified","not specified","not specified"
"631193","male","not specified","not specified","not specified","not specified","not specified"
"3742262","male","not specified","not specified","not specified","not specified","not specified"
"279156","female","not specified","not specified","not specified","not specified","not specified"
"7153244","female","not specified","not specified","not specified","not specified","not specified"
"3311075","male","not specified","not specified","not specified","Conservative","not specified"
"5966200","male","not specified","not specified","not specified","not specified","not specified"
